Train: Epoch [1/1000], Step [30/210]| g_loss: 38.221| d_loss: 0.000| r_loss: 28.989| p_loss: 18.291| v_loss: 0.086| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [1/1000], Step [60/210]| g_loss: 25.271| d_loss: 0.000| r_loss: 19.984| p_loss: 10.385| v_loss: 0.094| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [1/1000], Step [90/210]| g_loss: 17.788| d_loss: 0.000| r_loss: 13.425| p_loss: 8.528| v_loss: 0.099| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [1/1000], Step [50/210]| g_loss: 33.594| d_loss: 0.000| r_loss: 25.903| p_loss: 15.200| v_loss: 0.090| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [1/1000], Step [100/210]| g_loss: 18.015| d_loss: 0.000| r_loss: 13.528| p_loss: 8.787| v_loss: 0.095| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [1/1000], Step [150/210]| g_loss: 10.530| d_loss: 0.000| r_loss: 6.409| p_loss: 8.063| v_loss: 0.090| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [1/1000], Step [200/210]| g_loss: 6.302| d_loss: 0.000| r_loss: 2.778| p_loss: 6.864| v_loss: 0.092| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [2/1000], Step [50/210]| g_loss: 4.447| d_loss: 0.000| r_loss: 1.412| p_loss: 5.887| v_loss: 0.092| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [2/1000], Step [100/210]| g_loss: 3.747| d_loss: 0.000| r_loss: 1.108| p_loss: 5.093| v_loss: 0.093| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [2/1000], Step [150/210]| g_loss: 3.231| d_loss: 0.000| r_loss: 1.039| p_loss: 4.204| v_loss: 0.089| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [2/1000], Step [200/210]| g_loss: 2.913| d_loss: 0.000| r_loss: 0.974| p_loss: 3.702| v_loss: 0.088| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [3/1000], Step [50/210]| g_loss: 2.671| d_loss: 0.000| r_loss: 0.939| p_loss: 3.283| v_loss: 0.091| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [3/1000], Step [100/210]| g_loss: 2.529| d_loss: 0.000| r_loss: 0.916| p_loss: 3.045| v_loss: 0.091| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [3/1000], Step [150/210]| g_loss: 2.318| d_loss: 0.000| r_loss: 0.884| p_loss: 2.682| v_loss: 0.092| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [3/1000], Step [200/210]| g_loss: 2.321| d_loss: 0.000| r_loss: 0.908| p_loss: 2.652| v_loss: 0.086| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [4/1000], Step [50/210]| g_loss: 2.126| d_loss: 0.000| r_loss: 0.868| p_loss: 2.332| v_loss: 0.092| per_loss: 0.000 | a_loss: 0.000
Train: Epoch [4/1000], Step [100/210]| g_loss: 1.993| d_loss: 0.000| r_loss: 0.835| p_loss: 2.122| v_loss: 0.097| per_loss: 0.000 | a_loss: 0.000
