Train: Epoch [1/2000], Step [30/158]| g_loss: 17.206| d_loss: 2.000| gp_loss: 0.000| r_loss: 7.526| p_loss: 18.620| v_loss: 0.082| per_loss: 2.874 | a_loss: 0.000
Train: Epoch [1/2000], Step [60/158]| g_loss: 11.021| d_loss: 1.999| gp_loss: 0.000| r_loss: 5.900| p_loss: 9.512| v_loss: 0.079| per_loss: 2.854 | a_loss: 0.000
Train: Epoch [1/2000], Step [90/158]| g_loss: 9.204| d_loss: 1.996| gp_loss: 0.000| r_loss: 4.775| p_loss: 8.160| v_loss: 0.076| per_loss: 2.731 | a_loss: 0.000
Train: Epoch [1/2000], Step [120/158]| g_loss: 8.159| d_loss: 1.986| gp_loss: 0.000| r_loss: 3.947| p_loss: 7.734| v_loss: 0.071| per_loss: 2.744 | a_loss: 0.000
Train: Epoch [1/2000], Step [150/158]| g_loss: 7.268| d_loss: 1.954| gp_loss: 0.000| r_loss: 3.271| p_loss: 7.311| v_loss: 0.079| per_loss: 2.616 | a_loss: 0.000
Train: Epoch [2/2000], Step [30/158]| g_loss: 6.568| d_loss: 1.841| gp_loss: 0.000| r_loss: 2.741| p_loss: 6.996| v_loss: 0.076| per_loss: 2.510 | a_loss: 0.002
Train: Epoch [2/2000], Step [60/158]| g_loss: 6.048| d_loss: 1.508| gp_loss: 0.000| r_loss: 2.389| p_loss: 6.620| v_loss: 0.075| per_loss: 2.559 | a_loss: 0.018
Train: Epoch [2/2000], Step [90/158]| g_loss: 5.667| d_loss: 0.877| gp_loss: 0.000| r_loss: 2.112| p_loss: 6.177| v_loss: 0.078| per_loss: 2.595 | a_loss: 0.128
Train: Epoch [2/2000], Step [120/158]| g_loss: 5.536| d_loss: 0.593| gp_loss: 0.002| r_loss: 1.921| p_loss: 5.923| v_loss: 0.074| per_loss: 2.697 | a_loss: 0.310
Train: Epoch [2/2000], Step [150/158]| g_loss: 5.361| d_loss: 0.803| gp_loss: 0.005| r_loss: 1.889| p_loss: 5.784| v_loss: 0.081| per_loss: 2.716 | a_loss: 0.228
Train: Epoch [3/2000], Step [30/158]| g_loss: 4.723| d_loss: 1.238| gp_loss: 0.021| r_loss: 1.782| p_loss: 4.969| v_loss: 0.081| per_loss: 2.647 | a_loss: 0.112
Train: Epoch [3/2000], Step [60/158]| g_loss: 3.971| d_loss: 1.507| gp_loss: 0.012| r_loss: 1.539| p_loss: 4.086| v_loss: 0.077| per_loss: 2.493 | a_loss: 0.063
Train: Epoch [3/2000], Step [90/158]| g_loss: 3.675| d_loss: 1.528| gp_loss: 0.013| r_loss: 1.415| p_loss: 3.728| v_loss: 0.082| per_loss: 2.483 | a_loss: 0.066
Train: Epoch [3/2000], Step [120/158]| g_loss: 3.566| d_loss: 1.508| gp_loss: 0.013| r_loss: 1.329| p_loss: 3.654| v_loss: 0.082| per_loss: 2.425 | a_loss: 0.085
Train: Epoch [3/2000], Step [150/158]| g_loss: 3.350| d_loss: 1.614| gp_loss: 0.011| r_loss: 1.241| p_loss: 3.439| v_loss: 0.076| per_loss: 2.407 | a_loss: 0.073
Train: Epoch [4/2000], Step [30/158]| g_loss: 3.236| d_loss: 1.622| gp_loss: 0.022| r_loss: 1.157| p_loss: 3.346| v_loss: 0.079| per_loss: 2.362 | a_loss: 0.090
Train: Epoch [4/2000], Step [60/158]| g_loss: 2.925| d_loss: 1.554| gp_loss: 0.008| r_loss: 1.046| p_loss: 2.995| v_loss: 0.076| per_loss: 2.324 | a_loss: 0.074
Train: Epoch [4/2000], Step [90/158]| g_loss: 2.724| d_loss: 1.557| gp_loss: 0.007| r_loss: 0.891| p_loss: 2.897| v_loss: 0.085| per_loss: 2.249 | a_loss: 0.074
Train: Epoch [4/2000], Step [120/158]| g_loss: 2.493| d_loss: 1.608| gp_loss: 0.007| r_loss: 0.728| p_loss: 2.778| v_loss: 0.080| per_loss: 2.280 | a_loss: 0.068
Train: Epoch [4/2000], Step [150/158]| g_loss: 2.288| d_loss: 1.572| gp_loss: 0.006| r_loss: 0.588| p_loss: 2.674| v_loss: 0.080| per_loss: 2.219 | a_loss: 0.062
Train: Epoch [5/2000], Step [30/158]| g_loss: 2.211| d_loss: 1.587| gp_loss: 0.013| r_loss: 0.502| p_loss: 2.689| v_loss: 0.077| per_loss: 2.204 | a_loss: 0.066
Train: Epoch [5/2000], Step [60/158]| g_loss: 2.039| d_loss: 1.525| gp_loss: 0.006| r_loss: 0.446| p_loss: 2.477| v_loss: 0.081| per_loss: 2.146 | a_loss: 0.058
Train: Epoch [5/2000], Step [90/158]| g_loss: 1.976| d_loss: 1.558| gp_loss: 0.005| r_loss: 0.407| p_loss: 2.405| v_loss: 0.076| per_loss: 2.191 | a_loss: 0.072
Train: Epoch [5/2000], Step [120/158]| g_loss: 1.888| d_loss: 1.525| gp_loss: 0.005| r_loss: 0.376| p_loss: 2.322| v_loss: 0.077| per_loss: 2.148 | a_loss: 0.059
Train: Epoch [5/2000], Step [150/158]| g_loss: 1.848| d_loss: 1.499| gp_loss: 0.005| r_loss: 0.358| p_loss: 2.277| v_loss: 0.077| per_loss: 2.131 | a_loss: 0.061
Train: Epoch [6/2000], Step [30/158]| g_loss: 1.792| d_loss: 1.477| gp_loss: 0.012| r_loss: 0.336| p_loss: 2.202| v_loss: 0.078| per_loss: 2.118 | a_loss: 0.065
Train: Epoch [6/2000], Step [60/158]| g_loss: 1.733| d_loss: 1.406| gp_loss: 0.005| r_loss: 0.319| p_loss: 2.119| v_loss: 0.078| per_loss: 2.061 | a_loss: 0.071
Train: Epoch [6/2000], Step [90/158]| g_loss: 1.771| d_loss: 1.462| gp_loss: 0.005| r_loss: 0.314| p_loss: 2.183| v_loss: 0.078| per_loss: 2.025 | a_loss: 0.086
Train: Epoch [6/2000], Step [120/158]| g_loss: 1.706| d_loss: 1.315| gp_loss: 0.005| r_loss: 0.306| p_loss: 2.074| v_loss: 0.076| per_loss: 2.036 | a_loss: 0.083
Train: Epoch [6/2000], Step [150/158]| g_loss: 1.731| d_loss: 1.323| gp_loss: 0.005| r_loss: 0.300| p_loss: 2.116| v_loss: 0.084| per_loss: 2.031 | a_loss: 0.087
Train: Epoch [7/2000], Step [30/158]| g_loss: 1.688| d_loss: 1.245| gp_loss: 0.009| r_loss: 0.298| p_loss: 2.003| v_loss: 0.078| per_loss: 2.039 | a_loss: 0.107
Train: Epoch [7/2000], Step [60/158]| g_loss: 1.713| d_loss: 1.263| gp_loss: 0.005| r_loss: 0.291| p_loss: 2.036| v_loss: 0.080| per_loss: 1.999 | a_loss: 0.124
Train: Epoch [7/2000], Step [90/158]| g_loss: 1.696| d_loss: 1.258| gp_loss: 0.005| r_loss: 0.286| p_loss: 2.028| v_loss: 0.081| per_loss: 1.961 | a_loss: 0.120
Train: Epoch [7/2000], Step [120/158]| g_loss: 1.737| d_loss: 1.110| gp_loss: 0.005| r_loss: 0.279| p_loss: 2.021| v_loss: 0.077| per_loss: 1.974 | a_loss: 0.173
Train: Epoch [7/2000], Step [150/158]| g_loss: 1.792| d_loss: 1.103| gp_loss: 0.005| r_loss: 0.280| p_loss: 2.099| v_loss: 0.079| per_loss: 2.019 | a_loss: 0.182
Train: Epoch [8/2000], Step [30/158]| g_loss: 1.736| d_loss: 1.100| gp_loss: 0.010| r_loss: 0.278| p_loss: 2.005| v_loss: 0.080| per_loss: 2.003 | a_loss: 0.174
Train: Epoch [8/2000], Step [60/158]| g_loss: 1.855| d_loss: 1.052| gp_loss: 0.005| r_loss: 0.276| p_loss: 2.108| v_loss: 0.078| per_loss: 1.946 | a_loss: 0.252
Train: Epoch [8/2000], Step [90/158]| g_loss: 1.932| d_loss: 1.104| gp_loss: 0.005| r_loss: 0.284| p_loss: 2.179| v_loss: 0.077| per_loss: 2.027 | a_loss: 0.278
Train: Epoch [8/2000], Step [120/158]| g_loss: 1.893| d_loss: 1.116| gp_loss: 0.005| r_loss: 0.288| p_loss: 2.242| v_loss: 0.080| per_loss: 2.027 | a_loss: 0.202
Train: Epoch [8/2000], Step [150/158]| g_loss: 1.848| d_loss: 1.139| gp_loss: 0.004| r_loss: 0.276| p_loss: 2.089| v_loss: 0.081| per_loss: 1.989 | a_loss: 0.248
Train: Epoch [9/2000], Step [30/158]| g_loss: 1.921| d_loss: 0.976| gp_loss: 0.011| r_loss: 0.268| p_loss: 2.115| v_loss: 0.077| per_loss: 2.048 | a_loss: 0.314
Train: Epoch [9/2000], Step [60/158]| g_loss: 1.977| d_loss: 0.892| gp_loss: 0.003| r_loss: 0.274| p_loss: 2.085| v_loss: 0.079| per_loss: 2.120 | a_loss: 0.370
Train: Epoch [9/2000], Step [90/158]| g_loss: 1.881| d_loss: 0.990| gp_loss: 0.003| r_loss: 0.269| p_loss: 2.006| v_loss: 0.083| per_loss: 1.985 | a_loss: 0.328
Train: Epoch [9/2000], Step [120/158]| g_loss: 1.870| d_loss: 0.857| gp_loss: 0.003| r_loss: 0.265| p_loss: 1.917| v_loss: 0.080| per_loss: 1.991 | a_loss: 0.367
Train: Epoch [9/2000], Step [150/158]| g_loss: 2.002| d_loss: 0.915| gp_loss: 0.003| r_loss: 0.271| p_loss: 2.102| v_loss: 0.078| per_loss: 2.077 | a_loss: 0.394
Train: Epoch [10/2000], Step [30/158]| g_loss: 2.003| d_loss: 1.075| gp_loss: 0.010| r_loss: 0.266| p_loss: 2.221| v_loss: 0.075| per_loss: 2.145 | a_loss: 0.338
Train: Epoch [10/2000], Step [60/158]| g_loss: 2.091| d_loss: 1.037| gp_loss: 0.003| r_loss: 0.289| p_loss: 2.440| v_loss: 0.077| per_loss: 2.196 | a_loss: 0.286
Train: Epoch [10/2000], Step [90/158]| g_loss: 2.184| d_loss: 1.161| gp_loss: 0.002| r_loss: 0.318| p_loss: 2.506| v_loss: 0.077| per_loss: 2.199 | a_loss: 0.316
Train: Epoch [10/2000], Step [120/158]| g_loss: 2.197| d_loss: 1.178| gp_loss: 0.002| r_loss: 0.316| p_loss: 2.533| v_loss: 0.085| per_loss: 2.260 | a_loss: 0.304
Train: Epoch [10/2000], Step [150/158]| g_loss: 2.070| d_loss: 1.228| gp_loss: 0.002| r_loss: 0.314| p_loss: 2.444| v_loss: 0.076| per_loss: 2.411 | a_loss: 0.216
Train: Epoch [11/2000], Step [30/158]| g_loss: 2.150| d_loss: 1.285| gp_loss: 0.003| r_loss: 0.301| p_loss: 2.495| v_loss: 0.078| per_loss: 2.610 | a_loss: 0.263
Train: Epoch [11/2000], Step [60/158]| g_loss: 2.227| d_loss: 1.216| gp_loss: 0.001| r_loss: 0.280| p_loss: 2.456| v_loss: 0.083| per_loss: 2.521 | a_loss: 0.384
Train: Epoch [11/2000], Step [90/158]| g_loss: 2.172| d_loss: 1.172| gp_loss: 0.001| r_loss: 0.277| p_loss: 2.320| v_loss: 0.073| per_loss: 2.559 | a_loss: 0.406
Train: Epoch [11/2000], Step [120/158]| g_loss: 2.066| d_loss: 0.999| gp_loss: 0.001| r_loss: 0.272| p_loss: 2.187| v_loss: 0.076| per_loss: 2.526 | a_loss: 0.372
Train: Epoch [11/2000], Step [150/158]| g_loss: 2.058| d_loss: 0.903| gp_loss: 0.001| r_loss: 0.274| p_loss: 2.174| v_loss: 0.076| per_loss: 2.553 | a_loss: 0.364
Train: Epoch [12/2000], Step [30/158]| g_loss: 2.119| d_loss: 1.015| gp_loss: 0.002| r_loss: 0.280| p_loss: 2.252| v_loss: 0.076| per_loss: 2.572 | a_loss: 0.380
