Train: Epoch [1/3000], Step [30/158]| g_loss: 52.784| d_loss: 1.998| gp_loss: 0.000| r_loss: 42.907| p_loss: 19.012| v_loss: 0.082| per_loss: 2.884 | a_loss: 0.000
Train: Epoch [1/3000], Step [60/158]| g_loss: 34.671| d_loss: 1.987| gp_loss: 0.000| r_loss: 28.489| p_loss: 11.620| v_loss: 0.079| per_loss: 2.923 | a_loss: 0.000
Train: Epoch [1/3000], Step [90/158]| g_loss: 23.213| d_loss: 1.944| gp_loss: 0.000| r_loss: 17.941| p_loss: 9.808| v_loss: 0.076| per_loss: 2.912 | a_loss: 0.000
Train: Epoch [1/3000], Step [120/158]| g_loss: 14.849| d_loss: 1.852| gp_loss: 0.000| r_loss: 9.913| p_loss: 9.139| v_loss: 0.071| per_loss: 2.945 | a_loss: 0.001
Train: Epoch [1/3000], Step [150/158]| g_loss: 9.082| d_loss: 1.742| gp_loss: 0.000| r_loss: 4.819| p_loss: 7.799| v_loss: 0.079| per_loss: 2.784 | a_loss: 0.006
Train: Epoch [2/3000], Step [30/158]| g_loss: 6.500| d_loss: 1.501| gp_loss: 0.000| r_loss: 2.602| p_loss: 7.018| v_loss: 0.076| per_loss: 2.775 | a_loss: 0.036
Train: Epoch [2/3000], Step [60/158]| g_loss: 5.644| d_loss: 1.198| gp_loss: 0.001| r_loss: 1.988| p_loss: 6.457| v_loss: 0.076| per_loss: 2.659 | a_loss: 0.086
Train: Epoch [2/3000], Step [90/158]| g_loss: 5.328| d_loss: 1.037| gp_loss: 0.001| r_loss: 1.798| p_loss: 6.073| v_loss: 0.081| per_loss: 2.632 | a_loss: 0.150
Train: Epoch [2/3000], Step [120/158]| g_loss: 5.331| d_loss: 1.135| gp_loss: 0.002| r_loss: 1.739| p_loss: 6.071| v_loss: 0.077| per_loss: 2.732 | a_loss: 0.207
Train: Epoch [2/3000], Step [150/158]| g_loss: 5.156| d_loss: 1.201| gp_loss: 0.002| r_loss: 1.699| p_loss: 5.845| v_loss: 0.081| per_loss: 2.684 | a_loss: 0.185
Train: Epoch [3/3000], Step [30/158]| g_loss: 4.921| d_loss: 1.176| gp_loss: 0.007| r_loss: 1.625| p_loss: 5.411| v_loss: 0.080| per_loss: 2.777 | a_loss: 0.233
Train: Epoch [3/3000], Step [60/158]| g_loss: 4.355| d_loss: 1.344| gp_loss: 0.003| r_loss: 1.562| p_loss: 4.569| v_loss: 0.077| per_loss: 2.778 | a_loss: 0.154
Train: Epoch [3/3000], Step [90/158]| g_loss: 4.198| d_loss: 1.338| gp_loss: 0.003| r_loss: 1.542| p_loss: 4.308| v_loss: 0.083| per_loss: 2.762 | a_loss: 0.143
Train: Epoch [3/3000], Step [120/158]| g_loss: 4.263| d_loss: 1.187| gp_loss: 0.003| r_loss: 1.504| p_loss: 4.458| v_loss: 0.082| per_loss: 2.721 | a_loss: 0.176
Train: Epoch [3/3000], Step [150/158]| g_loss: 4.069| d_loss: 1.198| gp_loss: 0.004| r_loss: 1.485| p_loss: 4.110| v_loss: 0.077| per_loss: 2.761 | a_loss: 0.176
Train: Epoch [4/3000], Step [30/158]| g_loss: 4.098| d_loss: 1.213| gp_loss: 0.009| r_loss: 1.493| p_loss: 4.110| v_loss: 0.080| per_loss: 2.696 | a_loss: 0.200
Train: Epoch [4/3000], Step [60/158]| g_loss: 3.819| d_loss: 1.104| gp_loss: 0.005| r_loss: 1.384| p_loss: 3.809| v_loss: 0.076| per_loss: 2.640 | a_loss: 0.190
Train: Epoch [4/3000], Step [90/158]| g_loss: 3.746| d_loss: 1.175| gp_loss: 0.005| r_loss: 1.384| p_loss: 3.677| v_loss: 0.085| per_loss: 2.616 | a_loss: 0.177
Train: Epoch [4/3000], Step [120/158]| g_loss: 3.685| d_loss: 1.213| gp_loss: 0.006| r_loss: 1.374| p_loss: 3.603| v_loss: 0.081| per_loss: 2.552 | a_loss: 0.173
Train: Epoch [4/3000], Step [150/158]| g_loss: 3.618| d_loss: 1.068| gp_loss: 0.006| r_loss: 1.368| p_loss: 3.422| v_loss: 0.080| per_loss: 2.500 | a_loss: 0.210
Train: Epoch [5/3000], Step [30/158]| g_loss: 3.632| d_loss: 1.082| gp_loss: 0.015| r_loss: 1.349| p_loss: 3.492| v_loss: 0.078| per_loss: 2.506 | a_loss: 0.209
Train: Epoch [5/3000], Step [60/158]| g_loss: 3.588| d_loss: 1.191| gp_loss: 0.008| r_loss: 1.332| p_loss: 3.372| v_loss: 0.083| per_loss: 2.455 | a_loss: 0.242
Train: Epoch [5/3000], Step [90/158]| g_loss: 3.475| d_loss: 1.183| gp_loss: 0.008| r_loss: 1.338| p_loss: 3.225| v_loss: 0.077| per_loss: 2.434 | a_loss: 0.203
Train: Epoch [5/3000], Step [120/158]| g_loss: 3.290| d_loss: 0.943| gp_loss: 0.008| r_loss: 1.237| p_loss: 3.008| v_loss: 0.079| per_loss: 2.398 | a_loss: 0.230
Train: Epoch [5/3000], Step [150/158]| g_loss: 3.455| d_loss: 1.116| gp_loss: 0.009| r_loss: 1.324| p_loss: 3.148| v_loss: 0.080| per_loss: 2.328 | a_loss: 0.245
Train: Epoch [6/3000], Step [30/158]| g_loss: 3.332| d_loss: 0.903| gp_loss: 0.022| r_loss: 1.285| p_loss: 2.838| v_loss: 0.080| per_loss: 2.320 | a_loss: 0.315
Train: Epoch [6/3000], Step [60/158]| g_loss: 3.298| d_loss: 1.166| gp_loss: 0.009| r_loss: 1.268| p_loss: 2.921| v_loss: 0.081| per_loss: 2.277 | a_loss: 0.261
Train: Epoch [6/3000], Step [90/158]| g_loss: 3.413| d_loss: 0.946| gp_loss: 0.009| r_loss: 1.317| p_loss: 2.946| v_loss: 0.081| per_loss: 2.250 | a_loss: 0.317
Train: Epoch [6/3000], Step [120/158]| g_loss: 3.353| d_loss: 0.983| gp_loss: 0.010| r_loss: 1.308| p_loss: 2.912| v_loss: 0.079| per_loss: 2.222 | a_loss: 0.287
Train: Epoch [6/3000], Step [150/158]| g_loss: 3.493| d_loss: 0.854| gp_loss: 0.010| r_loss: 1.282| p_loss: 3.058| v_loss: 0.087| per_loss: 2.183 | a_loss: 0.378
Train: Epoch [7/3000], Step [30/158]| g_loss: 3.513| d_loss: 0.822| gp_loss: 0.017| r_loss: 1.337| p_loss: 2.864| v_loss: 0.081| per_loss: 2.203 | a_loss: 0.442
Train: Epoch [7/3000], Step [60/158]| g_loss: 3.273| d_loss: 0.924| gp_loss: 0.007| r_loss: 1.291| p_loss: 2.683| v_loss: 0.085| per_loss: 2.261 | a_loss: 0.330
Train: Epoch [7/3000], Step [90/158]| g_loss: 3.323| d_loss: 0.816| gp_loss: 0.007| r_loss: 1.279| p_loss: 2.573| v_loss: 0.086| per_loss: 2.171 | a_loss: 0.455
Train: Epoch [7/3000], Step [120/158]| g_loss: 3.152| d_loss: 0.798| gp_loss: 0.007| r_loss: 1.239| p_loss: 2.357| v_loss: 0.082| per_loss: 2.171 | a_loss: 0.437
Train: Epoch [7/3000], Step [150/158]| g_loss: 3.175| d_loss: 0.772| gp_loss: 0.007| r_loss: 1.222| p_loss: 2.466| v_loss: 0.084| per_loss: 2.172 | a_loss: 0.420
Train: Epoch [8/3000], Step [30/158]| g_loss: 3.324| d_loss: 0.736| gp_loss: 0.020| r_loss: 1.248| p_loss: 2.565| v_loss: 0.086| per_loss: 2.254 | a_loss: 0.482
Train: Epoch [8/3000], Step [60/158]| g_loss: 3.327| d_loss: 0.804| gp_loss: 0.009| r_loss: 1.231| p_loss: 2.605| v_loss: 0.084| per_loss: 2.254 | a_loss: 0.483
Train: Epoch [8/3000], Step [90/158]| g_loss: 3.319| d_loss: 0.821| gp_loss: 0.008| r_loss: 1.250| p_loss: 2.542| v_loss: 0.083| per_loss: 2.310 | a_loss: 0.483
Train: Epoch [8/3000], Step [120/158]| g_loss: 3.338| d_loss: 0.792| gp_loss: 0.009| r_loss: 1.255| p_loss: 2.598| v_loss: 0.085| per_loss: 2.360 | a_loss: 0.464
Train: Epoch [8/3000], Step [150/158]| g_loss: 3.155| d_loss: 0.899| gp_loss: 0.008| r_loss: 1.176| p_loss: 2.437| v_loss: 0.084| per_loss: 2.313 | a_loss: 0.446
Train: Epoch [9/3000], Step [30/158]| g_loss: 3.219| d_loss: 0.768| gp_loss: 0.025| r_loss: 1.152| p_loss: 2.481| v_loss: 0.078| per_loss: 2.299 | a_loss: 0.518
Train: Epoch [9/3000], Step [60/158]| g_loss: 3.378| d_loss: 0.773| gp_loss: 0.008| r_loss: 1.221| p_loss: 2.612| v_loss: 0.079| per_loss: 2.352 | a_loss: 0.537
Train: Epoch [9/3000], Step [90/158]| g_loss: 3.342| d_loss: 0.790| gp_loss: 0.008| r_loss: 1.141| p_loss: 2.622| v_loss: 0.083| per_loss: 2.250 | a_loss: 0.582
Train: Epoch [9/3000], Step [120/158]| g_loss: 3.230| d_loss: 0.668| gp_loss: 0.008| r_loss: 1.132| p_loss: 2.368| v_loss: 0.082| per_loss: 2.210 | a_loss: 0.611
Train: Epoch [9/3000], Step [150/158]| g_loss: 3.312| d_loss: 0.721| gp_loss: 0.008| r_loss: 1.163| p_loss: 2.455| v_loss: 0.081| per_loss: 2.331 | a_loss: 0.608
Train: Epoch [10/3000], Step [30/158]| g_loss: 3.077| d_loss: 0.801| gp_loss: 0.024| r_loss: 1.090| p_loss: 2.195| v_loss: 0.079| per_loss: 2.323 | a_loss: 0.578
Train: Epoch [10/3000], Step [60/158]| g_loss: 3.187| d_loss: 0.628| gp_loss: 0.008| r_loss: 1.173| p_loss: 2.267| v_loss: 0.082| per_loss: 2.341 | a_loss: 0.564
